,user_id,isbn,book_rating,user,book
1,276726,0155061224,5.0,677,424
3,276729,052165615X,3.0,678,2151
4,276729,0521795028,6.0,678,2152
8,276744,038550120X,7.0,679,1212
16,276747,0060517794,9.0,680,87
19,276747,0671537458,9.0,680,2649
20,276747,0679776818,8.0,680,2835
21,276747,0943066433,7.0,680,3648
23,276747,1885408226,7.0,680,3952
24,276748,0747558167,6.0,681,3066
27,276751,3596218098,8.0,682,4312
28,276754,0684867621,8.0,683,2885
29,276755,0451166892,5.0,684,1881
33,276762,0380711524,5.0,685,1059
44,276762,3453092007,8.0,685,4226
59,276772,0553572369,7.0,686,2341
61,276772,3499230933,10.0,686,4274
62,276772,3596151465,10.0,686,4305
66,276774,3442136644,9.0,687,4197
77,276786,8437606322,8.0,688,4383
81,276786,8478442588,6.0,688,4417
83,276788,0345443683,8.0,689,807
84,276788,043935806X,7.0,689,1512
85,276788,055310666X,10.0,689,2194
86,276796,0330332775,5.0,690,658
88,276798,0006379702,5.0,691,5
90,276798,3442131340,7.0,691,4196
97,276798,3548603203,6.0,691,4290
105,276800,1562827898,7.0,692,3789
109,276804,0440498058,8.0,693,1625
112,276808,0395547032,10.0,694,1281
113,276811,0440414121,10.0,695,1615
118,276813,8423996565,8.0,696,4369
120,276813,8426449476,8.0,696,4372
121,276813,8426449573,6.0,696,4373
123,276813,8478885218,6.0,696,4420
125,276813,8478886044,8.0,696,4421
127,276814,0091830893,8.0,697,262
129,276814,0812571029,9.0,697,3330
133,276822,0060096195,10.0,698,44
134,276822,0141310340,9.0,698,387
135,276822,0142302198,10.0,698,402
136,276822,0156006065,9.0,698,427
137,276822,0375821813,9.0,698,1027
138,276822,038076041X,10.0,698,1082
140,276822,0439401399,6.0,698,1513
142,276822,0689804458,8.0,698,2925
144,276822,0786812508,9.0,698,3139
145,276822,0786817070,10.0,698,3141
146,276822,0805057706,10.0,698,3232
147,276822,1551925060,8.0,698,3720
148,276822,1573248533,10.0,698,3851
158,276828,2253150711,7.0,699,4061
163,276830,0440225825,9.0,700,1579
165,276832,0345446860,5.0,701,809
167,276835,3125785006,10.0,702,4124
168,276837,0380005239,5.0,703,1036
176,276847,3404145909,8.0,704,4156
177,276847,3404148576,8.0,704,4157
178,276847,3404921178,7.0,704,4163
179,276847,3423071516,10.0,704,4169
184,276847,3426671298,8.0,704,4193
185,276847,344215121X,9.0,704,4198
186,276847,3442413508,10.0,704,4199
187,276847,3442422035,9.0,704,4201
188,276847,3442435773,8.0,704,4206
189,276847,3442437717,7.0,704,4207
190,276847,3442441080,10.0,704,4209
192,276847,3442444020,8.0,704,4211
193,276847,3442446414,10.0,704,4212
194,276847,3442448530,7.0,704,4213
195,276847,3442449820,9.0,704,4214
196,276847,3453137442,6.0,704,4234
199,276847,347354034X,7.0,704,4249
200,276847,3492231322,9.0,704,4262
202,276847,3499222213,7.0,704,4272
203,276847,3499228297,6.0,704,4273
207,276847,3499433443,8.0,704,4279
208,276847,3506464078,10.0,704,4281
210,276847,3551551677,10.0,704,4292
211,276847,3551551685,10.0,704,4293
212,276847,3551551693,10.0,704,4294
213,276847,3551551936,10.0,704,4295
214,276847,359621078X,9.0,704,4310
215,276847,3608932240,7.0,704,4318
216,276847,360893541X,10.0,704,4319
217,276847,3608935428,10.0,704,4320
218,276847,3608935436,10.0,704,4321
221,276847,3809024589,8.0,704,4331
222,276847,3821815191,10.0,704,4334
238,276850,0449217264,7.0,705,1823
241,276853,8420457477,1.0,706,4356
242,276853,8448034023,7.0,706,4397
243,276854,0671034944,5.0,707,2609
276,276859,0517642689,7.0,708,2146
278,276859,077104450X,8.0,708,3118
279,276859,0789706032,8.0,708,3173
280,276859,0836218833,10.0,708,3389
281,276859,0836220889,10.0,708,3390
282,276859,088365721X,9.0,708,3501
283,276859,1559712252,6.0,708,3769
284,276859,1567616089,8.0,708,3816
289,276861,3423201509,10.0,709,4181
292,276861,3446200452,8.0,709,4221
293,276861,349223903X,6.0,709,4264
294,276861,3499231603,9.0,709,4275
295,276861,360893541X,9.0,709,4319
296,276861,3608935428,9.0,709,4320
297,276861,3608935436,9.0,709,4321
299,276861,3886807843,8.0,709,4338
301,276862,1569312435,9.0,710,3822
302,276862,1892213141,8.0,710,3965
304,276866,3257218516,3.0,711,4143
305,276866,3404126343,8.0,711,4152
307,276866,3404139178,9.0,711,4153
308,276866,3404143299,7.0,711,4155
310,276866,340645724X,3.0,711,4164
311,276866,3426192543,5.0,711,4188
314,276866,3442443806,4.0,711,4210
315,276866,345309221X,8.0,711,4227
316,276866,3453108361,7.0,711,4230
318,276866,3453130901,5.0,711,4231
323,276866,3809410357,5.0,711,4332
327,276872,0425167097,8.0,712,1417
328,276872,042518109X,8.0,712,1445
329,276872,0425188221,7.0,712,1463
332,276872,8571648972,10.0,712,4436
343,276875,8804407808,6.0,713,4439
351,276875,8807810751,7.0,713,4452
356,276875,8817106100,6.0,713,4455
362,276875,8833908488,4.0,713,4460
363,276875,8838910987,8.0,713,4461
378,276878,0449210197,6.0,714,1814
385,276887,0064430227,5.0,715,247
387,276887,0812533550,9.0,715,3312
388,276888,8806162160,6.0,716,4444
392,276896,0440241537,10.0,717,1608
394,276904,0375901582,10.0,718,1030
395,276904,0439317746,5.0,718,1510
396,276904,0440228840,10.0,718,1586
397,276904,0440414121,10.0,718,1615
398,276904,0738205737,5.0,718,2976
400,276905,0060542845,8.0,719,94
401,276905,0449148831,5.0,719,1803
403,276911,8420430943,8.0,720,4351
404,276911,8420636282,9.0,720,4360
405,276911,8432205311,9.0,720,4376
406,276912,000225669X,6.0,721,2
410,276915,042513976X,7.0,722,1401
411,276916,0441008291,8.0,723,1647
413,276925,002542730X,10.0,724,19
418,276925,0140154078,6.0,724,307
424,276925,0194216748,5.0,724,444
429,276925,0385504209,8.0,724,1215
438,276925,0553275283,8.0,724,2267
439,276925,0582530431,9.0,724,2415
443,276925,063403541X,6.0,724,2535
459,276925,1400002672,8.0,724,3677
470,276925,840149236X,5.0,724,4345
473,276925,8420432113,5.0,724,4352
474,276925,8420444367,9.0,724,4354
484,276925,8423976645,8.0,724,4367
485,276925,8426109799,8.0,724,4371
517,276925,950491036X,10.0,724,4467
522,276927,1899344705,5.0,725,3973
524,276928,059030271X,5.0,726,2428
526,276928,0590470108,7.0,726,2477
528,276928,0671021354,10.0,726,2583
529,276928,0671026283,10.0,726,2594
530,276928,0671027506,10.0,726,2602
544,276929,2020564777,6.0,727,3993
548,276929,2070386023,5.0,727,4007
549,276929,2070394956,5.0,727,4009
550,276929,2070404587,10.0,727,4010
561,276929,2253030570,8.0,727,4046
566,276929,2253171670,8.0,727,4069
567,276929,2253172367,8.0,727,4070
568,276929,2264010991,5.0,727,4073
570,276929,2264018194,3.0,727,4074
571,276929,2264024674,5.0,727,4075
573,276929,2264027568,5.0,727,4076
576,276929,2264031158,6.0,727,4080
581,276929,2266047280,7.0,727,4085
586,276929,2266102621,10.0,727,4088
587,276929,2266104535,2.0,727,4089
588,276929,2266105698,8.0,727,4090
600,276929,2743602295,5.0,727,4106
602,276929,2842611462,3.0,727,4109
604,276929,2869304129,7.0,727,4111
605,276929,2869304560,5.0,727,4112
607,276929,2869305583,6.0,727,4113
615,276936,3492224768,6.0,728,4259
616,276936,3596122279,5.0,728,4299
617,276936,3596147700,3.0,728,4304
627,276939,2070414256,7.0,729,4012
628,276939,2070419657,7.0,729,4016
629,276939,2253063339,9.0,729,4054
630,276939,2253137243,9.0,729,4055
631,276939,2253144452,9.0,729,4059
632,276939,2253152072,9.0,729,4063
634,276939,226612269X,9.0,729,4092
637,276939,2702401694,9.0,729,4098
